Date,Open,High,Low,Close,Adj Close,Volume
2022-05-09,1.210000,1.220000,1.180000,1.190000,1.190000,259200
2022-05-10,1.220000,1.220000,1.060000,1.130000,1.130000,535800
2022-05-11,1.210000,1.340000,1.160000,1.240000,1.240000,402800
2022-05-12,1.260000,1.260000,1.160000,1.190000,1.190000,319000
2022-05-13,1.200000,1.480000,1.200000,1.460000,1.460000,449300
2022-05-16,1.480000,1.580000,1.400000,1.410000,1.410000,224700
2022-05-17,1.430000,1.590000,1.430000,1.530000,1.530000,280300
2022-05-18,1.560000,1.600000,1.530000,1.570000,1.570000,118100
2022-05-19,1.590000,1.630000,1.520000,1.610000,1.610000,134900
2022-05-20,1.610000,1.650000,1.520000,1.540000,1.540000,246300
2022-05-23,1.520000,1.550000,1.500000,1.500000,1.500000,183800
2022-05-24,1.500000,1.520000,1.390000,1.440000,1.440000,336300
2022-05-25,1.420000,1.480000,1.380000,1.430000,1.430000,95000
2022-05-26,1.450000,1.630000,1.450000,1.530000,1.530000,132800
2022-05-27,1.540000,1.620000,1.530000,1.600000,1.600000,372700
2022-05-31,1.560000,1.630000,1.480000,1.520000,1.520000,145400
2022-06-01,1.520000,1.570000,1.500000,1.510000,1.510000,135700
2022-06-02,1.500000,1.560000,1.500000,1.500000,1.500000,164300
2022-06-03,1.500000,1.580000,1.500000,1.560000,1.560000,213000
2022-06-06,1.570000,1.610000,1.510000,1.570000,1.570000,127800
2022-06-07,1.540000,1.560000,1.480000,1.530000,1.530000,393700
2022-06-08,1.510000,1.570000,1.370000,1.400000,1.400000,694300
2022-06-09,1.370000,1.410000,1.350000,1.370000,1.370000,237900
2022-06-10,1.350000,1.350000,1.280000,1.330000,1.330000,222000
2022-06-13,1.280000,1.280000,1.170000,1.200000,1.200000,252700
2022-06-14,1.220000,1.220000,1.160000,1.200000,1.200000,204300
2022-06-15,1.200000,1.280000,1.190000,1.210000,1.210000,145800
2022-06-16,1.180000,1.260000,1.100000,1.110000,1.110000,478500
2022-06-17,1.120000,1.150000,1.100000,1.120000,1.120000,349100
2022-06-21,1.150000,1.200000,1.130000,1.160000,1.160000,161100
2022-06-22,1.130000,1.210000,1.130000,1.160000,1.160000,211800
2022-06-23,1.170000,1.260000,1.170000,1.240000,1.240000,188900
2022-06-24,1.270000,1.280000,1.240000,1.270000,1.270000,202900
2022-06-27,1.270000,1.300000,1.240000,1.260000,1.260000,135300
2022-06-28,1.260000,1.320000,1.220000,1.220000,1.220000,188400
2022-06-29,1.190000,1.200000,1.120000,1.160000,1.160000,218500
2022-06-30,1.130000,1.170000,1.110000,1.150000,1.150000,86500
2022-07-01,1.160000,1.280000,1.150000,1.220000,1.220000,143000
2022-07-05,1.220000,1.230000,1.160000,1.160000,1.160000,114300
2022-07-06,1.160000,1.320000,1.160000,1.250000,1.250000,138400
2022-07-07,1.240000,1.310000,1.180000,1.180000,1.180000,191100
2022-07-08,1.190000,1.200000,1.160000,1.190000,1.190000,88200
2022-07-11,1.190000,1.190000,1.140000,1.140000,1.140000,67800
2022-07-12,1.160000,1.180000,1.140000,1.160000,1.160000,75900
2022-07-13,1.130000,1.210000,1.130000,1.170000,1.170000,182100
2022-07-14,1.170000,1.170000,1.120000,1.130000,1.130000,121600
2022-07-15,1.140000,1.160000,1.120000,1.150000,1.150000,238300
2022-07-18,1.140000,1.340000,1.140000,1.250000,1.250000,334200
2022-07-19,1.290000,1.360000,1.260000,1.290000,1.290000,270600
2022-07-20,1.310000,1.360000,1.310000,1.340000,1.340000,126700
2022-07-21,1.350000,1.360000,1.320000,1.360000,1.360000,37100
2022-07-22,1.350000,1.370000,1.280000,1.300000,1.300000,225000
2022-07-25,1.300000,1.350000,1.300000,1.340000,1.340000,59100
2022-07-26,1.330000,1.330000,1.280000,1.300000,1.300000,22200
2022-07-27,1.310000,1.370000,1.290000,1.350000,1.350000,66900
2022-07-28,1.350000,1.370000,1.330000,1.360000,1.360000,70300
2022-07-29,1.330000,1.370000,1.280000,1.340000,1.340000,58800
2022-08-01,1.350000,1.520000,1.290000,1.450000,1.450000,221100
2022-08-02,1.470000,1.630000,1.410000,1.600000,1.600000,230300
2022-08-03,1.600000,1.640000,1.590000,1.620000,1.620000,94500
2022-08-04,1.620000,1.640000,1.570000,1.620000,1.620000,88022
